name,quadrant,ring,isNew,description
Microservices,Techniques,Adopt,FALSE,"<h1>Architecture</h1><p>Test</p>"
Containerisation,Techniques,Adopt,TRUE,"<h1>Architecture</h1><p>Test</p>"
Serverless,Techniques,Adopt,TRUE,"<h1>Architecture</h1><p>Test</p>"
"Service mesh",Techniques,Assess,TRUE,"<h1>Architecture</h1><p>Test</p>"
"Container scanning",Techniques,Assess,TRUE,"<h1>Security</h1><p>Test</p>"
WAF,Techniques,Assess,TRUE,"<h1>Security</h1><p>Test</p>"
"API gateway",Techniques,Assess,TRUE,"<h1>Security</h1><p>Test</p>"
"NAT proxy whitelist",Techniques,Assess,TRUE,"<h1>Security</h1><p>Test</p>"
"Tenancy auditing",Techniques,Assess,TRUE,"<h1>Security</h1><p>Test</p>"
"Key & secrets rotation",Techniques,Assess,TRUE,"<h1>Security</h1><p>Test</p>"
Bamboo,Tools,Adopt,TRUE,"Test"
EC2 Auto-scaling,Platforms,Adopt,TRUE,"Test"
CloudFormation,"Languages & Frameworks",Adopt,TRUE,"Test"
