name,quadrant,ring,isNew,description
Microservices,Techniques,Adopt,FALSE,"<h4>Architecture</h4><p>Test</p>"
Containerisation,Techniques,Adopt,TRUE,"<h4>Architecture</h4><p>Test</p>"
Serverless,Techniques,Adopt,TRUE,"<h4>Architecture</h4><p>Test</p>"
"Service mesh",Techniques,Assess,TRUE,"<h4>Architecture</h4><p>Test</p>"
"Container scanning",Techniques,Adopt,TRUE,"<h4>Security</h4><p>Test</p>"
WAF,Techniques,Adopt,TRUE,"<h4>Security</h4><p>Test</p>"
"API gateway",Techniques,Adopt,TRUE,"<h4>Security</h4><p>Test</p>"
"NAT proxy whitelist",Techniques,Adopt,TRUE,"<h4>Security</h4><p>Test</p>"
"Tenancy auditing",Techniques,Adopt,TRUE,"<h4>Security</h4><p>Test</p>"
"Key & secrets rotation",Techniques,Adopt,TRUE,"<h4>Security</h4><p>Test</p>"
"Scale down when not in use",Techniques,Adopt,TRUE,"<h4>Efficiency</h4><p>Test</p>"
"Scale to zero",Techniques,Adopt,TRUE,"<h4>Efficiency</h4><p>Test</p>"
"Multi-AZ deployments",Techniques,Adopt,TRUE,"<h4>Reliability</h4><p>Test</p>"
"Load balancer health checks",Techniques,Adopt,TRUE,"<h4>Reliability</h4><p>Test</p>"
"Application health checks",Techniques,Adopt,TRUE,"<h4>Reliability</h4><p>Test</p>"
"Automated snapshots",Techniques,Adopt,TRUE,"<h4>Reliability</h4><p>Test</p>"
"Blue-green deployments",Techniques,Adopt,TRUE,"<h4>Reliability</h4><p>Test</p>"
Bamboo,Tools,Adopt,TRUE,"Test"
EC2 Auto-scaling,Platforms,Adopt,TRUE,"Test"
CloudFormation,"Languages & Frameworks",Adopt,TRUE,"Test"
