name,quadrant,ring,isNew,description
Microservices,Architecture,Adopt,FALSE,"<h4>Architecture</h4><p>Test</p>"
Containerisation,Architecture,Adopt,TRUE,"<h4>Architecture</h4><p>Test</p>"
Serverless,Architecture,Adopt,TRUE,"<h4>Architecture</h4><p>Test</p>"
"Service mesh",Architecture,Assess,TRUE,"<h4>Architecture</h4><p>Test</p>"
"Container scanning",Security,Adopt,TRUE,"<h4>Security</h4><p>Test</p>"
WAF,Security,Adopt,TRUE,"<h4>Security</h4><p>Test</p>"
"API gateway",Security,Adopt,TRUE,"<h4>Security</h4><p>Test</p>"
"NAT proxy whitelist",Security,Adopt,TRUE,"<h4>Security</h4><p>Test</p>"
"Tenancy auditing",Security,Adopt,TRUE,"<h4>Security</h4><p>Test</p>"
"Key & secrets rotation",Security,Adopt,TRUE,"<h4>Security</h4><p>Test</p>"
"Scale down when not in use",Efficiency,Adopt,TRUE,"<h4>Efficiency</h4><p>Test</p>"
"Scale to zero",Efficiency,Adopt,TRUE,"<h4>Efficiency</h4><p>Test</p>"
"Multi-AZ deployments",Reliability,Adopt,TRUE,"<h4>Reliability</h4><p>Test</p>"
"Load balancer health checks",Reliability,Adopt,TRUE,"<h4>Reliability</h4><p>Test</p>"
"Application health checks",Reliability,Adopt,TRUE,"<h4>Reliability</h4><p>Test</p>"
"Automated snapshots",Reliability,Adopt,TRUE,"<h4>Reliability</h4><p>Test</p>"
"Blue-green deployments",Orchestration,Adopt,TRUE,"<h4>Reliability</h4><p>Test</p>"
